ID,Name,Species,Breed,Age,Owner Name,Owner Contact,Owner Email
12,cookies,cat,asshole,0y 9m,Souzana,99042079,souzana@gmail.com
13,noelle,cat,bitch,0y 0m,antonis,papatsos,antonatsos@gamil.com
14,gingeroui,cat,cutie pie,0y 0m,Valentinos Konstantinou,99826814,valentinos@gmail.com
15,thomas,cat,couch,0y 5m,valentinos,99826814,valkon@gmail.com
16,thomas,cat,couch,0y 5m,valentinos,99826814,valkon@gmail.com
17,thomas,cat,couch,0y 4m,valenitnos,99826814,valkon@gmail.com
18,bella,dog,couch,4y 4m,souzana,99042079,souzanita@gmail.com
19,thomas,cat,couch,0y 4m,Valentinos,99826814,valentinos.konstant@gmail.com
21,eddie,cat,couch ,0y 4m,Valenitnos,99826814,val@gmail.com
22,thomatinio,cat,idiotic ass,0y 7m,Bigger idiot,99826814,valentinos_the_idiot@gmail.com
